Model,Macro f1-score,Accuracy
deepflow,0.8959686826116473,0.8980891719745223
resnet18_imagenet,0.896069369338549,0.8980891719745223
resnet18_barlow_twins,0.8882499756037767,0.89171974522293
resnet34_imagenet,0.8948728540050257,0.8980891719745223
resnet34_barlow_twins,0.9107645958264469,0.9140127388535032
ae,0.7728507580417914,0.7866242038216561
lr,0.8830847547231064,0.8853503184713376
lda,0.8686958421859555,0.8726114649681529
SVM,0.8836639618341584,0.8853503184713376
RF,0.8712312050462562,0.8757961783439491
xgb,0.8982830721926549,0.9012738853503185
deepflow,0.9223549937109241,0.9235668789808917
resnet18_imagenet,0.893462934839666,0.8949044585987261
resnet18_barlow_twins,0.9216122720369214,0.9235668789808917
resnet34_imagenet,0.9156689690025187,0.9171974522292994
resnet34_barlow_twins,0.9052784961133988,0.9076433121019108
ae,0.80577288860079,0.8121019108280255
lr,0.9041097665792314,0.9076433121019108
lda,0.8872447253755303,0.8885350318471338
SVM,0.9112989247159278,0.9140127388535032
RF,0.9234442604352253,0.9235668789808917
xgb,0.9281873224476589,0.9299363057324841
deepflow,0.8965327120249642,0.9009584664536742
resnet18_imagenet,0.8895462604144194,0.8913738019169329
resnet18_barlow_twins,0.9077097145745826,0.9105431309904153
resnet34_imagenet,0.8985514191312891,0.9009584664536742
resnet34_barlow_twins,0.8940841265621968,0.8977635782747604
ae,0.7771070068330272,0.7827476038338658
lr,0.8794009491490277,0.8817891373801917
lda,0.8388593753923911,0.8434504792332268
SVM,0.8881986239456713,0.8913738019169329
RF,0.8854824327902008,0.8881789137380192
xgb,0.9171241469970285,0.9201277955271565
deepflow,0.9126785387676257,0.9137380191693291
resnet18_imagenet,0.9242535109186717,0.9265175718849841
resnet18_barlow_twins,0.9189748458586722,0.9201277955271565
resnet34_imagenet,0.9216336511817071,0.9233226837060703
resnet34_barlow_twins,0.921787555668739,0.9233226837060703
ae,0.802118144690728,0.805111821086262
lr,0.9324633721801477,0.9329073482428115
lda,0.8886921510874133,0.8913738019169329
SVM,0.9253645310239784,0.9265175718849841
RF,0.9215478438944231,0.9233226837060703
xgb,0.9355757238670697,0.9361022364217252
deepflow,0.8839846272805324,0.8849840255591054
resnet18_imagenet,0.898509657478,0.9009584664536742
resnet18_barlow_twins,0.9191293636928345,0.9201277955271565
resnet34_imagenet,0.9235845484778908,0.9265175718849841
resnet34_barlow_twins,0.9070682264289311,0.9105431309904153
ae,0.7824534333455704,0.7891373801916933
lr,0.8837744025292735,0.8881789137380192
lda,0.8671267609546522,0.8690095846645367
SVM,0.8705463718484796,0.8753993610223643
RF,0.8968065597224862,0.9009584664536742
xgb,0.9066789521379219,0.9105431309904153
deepflow,0.9130515418083962,0.9140127388535032
resnet18_imagenet,0.8951914757813422,0.8980891719745223
resnet18_barlow_twins,0.899096146334452,0.9012738853503185
resnet34_imagenet,0.9051602617396333,0.9076433121019108
resnet34_barlow_twins,0.8984619447906002,0.9012738853503185
ae,0.7605248231111253,0.7707006369426752
lr,0.9179795258265881,0.9203821656050956
lda,0.8838665214735533,0.8885350318471338
SVM,0.8968971275103654,0.9012738853503185
RF,0.8823600350831687,0.8853503184713376
xgb,0.9071243257159944,0.910828025477707
deepflow,0.9066855044952482,0.9076433121019108
resnet18_imagenet,0.8827858590791167,0.8853503184713376
resnet18_barlow_twins,0.9123329588529473,0.9140127388535032
resnet34_imagenet,0.9085588533569491,0.910828025477707
resnet34_barlow_twins,0.9046476648375622,0.9076433121019108
ae,0.7787755805601775,0.7834394904458599
lr,0.8960459258167419,0.8980891719745223
lda,0.8811900768425988,0.8821656050955414
SVM,0.896754618789623,0.8980891719745223
RF,0.9288450505709639,0.9299363057324841
xgb,0.9225883327409617,0.9235668789808917
deepflow,0.9015537152306078,0.9041533546325878
resnet18_imagenet,0.9019077102410437,0.9041533546325878
resnet18_barlow_twins,0.9083936998191613,0.9105431309904153
resnet34_imagenet,0.9045479300662138,0.9073482428115016
resnet34_barlow_twins,0.8842960125216346,0.8881789137380192
ae,0.8343279077312475,0.8402555910543131
lr,0.8903731546570879,0.8913738019169329
lda,0.858968010546958,0.8594249201277955
SVM,0.899715685212348,0.9009584664536742
RF,0.9017244510673132,0.9041533546325878
xgb,0.9252542219280246,0.9265175718849841
deepflow,0.9122315495950856,0.9137380191693291
resnet18_imagenet,0.9280453800391503,0.9297124600638977
resnet18_barlow_twins,0.9302388955875478,0.9329073482428115
resnet34_imagenet,0.919977685821105,0.9233226837060703
resnet34_barlow_twins,0.9264516985443577,0.9297124600638977
ae,0.7609977353360671,0.7731629392971247
lr,0.8927953460983473,0.8977635782747604
lda,0.8573313122196249,0.8626198083067093
SVM,0.8801072163969419,0.8849840255591054
RF,0.8865716060226548,0.8913738019169329
xgb,0.9062311386643565,0.9105431309904153
deepflow,0.8791788620387729,0.8817891373801917
resnet18_imagenet,0.8943164403199475,0.8945686900958466
resnet18_barlow_twins,0.9066561907385206,0.9073482428115016
resnet34_imagenet,0.9162845873550762,0.9169329073482428
resnet34_barlow_twins,0.9257260458777464,0.9265175718849841
ae,0.8037348883896545,0.8083067092651757
lr,0.885255811849597,0.8881789137380192
lda,0.8688618141419248,0.8722044728434505
SVM,0.9067614815463827,0.9073482428115016
RF,0.899372374622685,0.9009584664536742
xgb,0.9252521356684306,0.9265175718849841
deepflow,0.8917678803553698,0.8949044585987261
resnet18_imagenet,0.892141498261965,0.8949044585987261
resnet18_barlow_twins,0.9073225538270374,0.910828025477707
resnet34_imagenet,0.8918424516410612,0.8949044585987261
resnet34_barlow_twins,0.9028260139440647,0.9076433121019108
ae,0.8018013290711595,0.8089171974522293
lr,0.8705257554864888,0.8757961783439491
lda,0.8457812218433262,0.8503184713375797
SVM,0.8776332603890871,0.8821656050955414
RF,0.8972063154519295,0.9012738853503185
xgb,0.9338444326172353,0.9363057324840764
deepflow,0.9002332823882345,0.9012738853503185
resnet18_imagenet,0.8923306947916438,0.8949044585987261
resnet18_barlow_twins,0.9190396594610526,0.9203821656050956
resnet34_imagenet,0.9085354058177746,0.910828025477707
resnet34_barlow_twins,0.9085074102353615,0.910828025477707
ae,0.7834048385154031,0.7929936305732485
lr,0.8849083780118165,0.8885350318471338
lda,0.8559856161916484,0.8598726114649682
SVM,0.8696557783157141,0.8726114649681529
RF,0.8963714024648151,0.8980891719745223
xgb,0.9090339132267656,0.910828025477707
deepflow,0.8936287739838372,0.8945686900958466
resnet18_imagenet,0.9092254860665613,0.9105431309904153
resnet18_barlow_twins,0.9044663283371569,0.9073482428115016
resnet34_imagenet,0.920976769611401,0.9233226837060703
resnet34_barlow_twins,0.9089037133577365,0.9105431309904153
ae,0.7650993110028244,0.7731629392971247
lr,0.8880176260184159,0.8881789137380192
lda,0.859863669374539,0.8594249201277955
SVM,0.8929804017595523,0.8945686900958466
RF,0.9044762682275699,0.9073482428115016
xgb,0.9178714157284998,0.9201277955271565
deepflow,0.9187058303282212,0.9201277955271565
resnet18_imagenet,0.9064192036436521,0.9073482428115016
