experiment,donor,condition_1,condition_2,class,value_1,value_2,fold_change,key
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,T_cell,26.64,13.39,-0.9924381217469515,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,T_cell_with_signaling,8.88,5.05,-0.8142762887109491,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,1.93,5.44,1.4950058039822591,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,Synapses_without_signaling,2.63,4.37,0.7325704802082962,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,Synapses_with_signaling,0.51,4.78,3.2284414660092526,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,Multiplets,4.4,17.28,1.973527788638809,Experiment_3 Donor_1
Experiment_3,Donor_1,DIG-TCB,CD19-TCB,B_cell,55.0,49.68,-0.14676644507890296,Experiment_3 Donor_1
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,T_cell,32.41,11.21,-1.5316527425124133,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,T_cell_with_signaling,6.56,7.42,0.1777233720027196,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,2.94,6.63,1.1731927152762234,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,Synapses_without_signaling,3.57,3.59,0.00805976979395162,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,Synapses_with_signaling,0.58,5.03,3.116433594677955,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,Multiplets,4.96,21.35,2.1058240441209777,Experiment_3 Donor_5
Experiment_3,Donor_5,DIG-TCB,CD19-TCB,B_cell,48.99,44.77,-0.12995497337930684,Experiment_3 Donor_5
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,T_cell,29.17,24.01,-0.28084998266776123,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,T_cell_with_signaling,24.55,18.81,-0.3842231756788604,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,2.63,9.68,1.879944247982292,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,Synapses_without_signaling,1.22,1.46,0.25908722131713097,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,Synapses_with_signaling,1.67,5.1,1.6106491443848057,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,Multiplets,4.72,13.71,1.5383698064173847,Experiment_4 Donor_2
Experiment_4,Donor_2,DIG-TCB,CD19-TCB,B_cell,36.04,27.23,-0.40440202876974246,Experiment_4 Donor_2
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,T_cell,28.87,18.16,-0.6688069049450671,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,T_cell_with_signaling,14.85,13.94,-0.09123236981970502,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,1.32,8.05,2.608450853643526,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,Synapses_without_signaling,0.8,1.4,0.8073549220576037,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,Synapses_with_signaling,0.6,5.77,3.265536913036964,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,Multiplets,1.53,11.3,2.8847192146098983,Experiment_4 Donor_7
Experiment_4,Donor_7,DIG-TCB,CD19-TCB,B_cell,52.04,41.39,-0.33033871348750465,Experiment_4 Donor_7
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,T_cell,31.82,22.65,-0.49042278539745043,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,T_cell_with_signaling,17.9,12.88,-0.4748269940370015,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,1.85,8.03,2.117874717001002,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,Synapses_without_signaling,0.96,1.66,0.7900769306257684,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,Synapses_with_signaling,1.22,5.29,2.1163865745511394,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,Multiplets,2.37,13.21,2.4786715023485684,Experiment_4 Donor_8
Experiment_4,Donor_8,DIG-TCB,CD19-TCB,B_cell,43.87,36.27,-0.27445796104895065,Experiment_4 Donor_8
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,T_cell,27.17,14.77,-0.8793447394571857,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,T_cell_with_signaling,16.38,11.82,-0.470705321463476,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,B_T_cell_in_one_layer,1.66,7.07,2.0905269734624743,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,Synapses_without_signaling,1.05,1.44,0.4556794837761895,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,Synapses_with_signaling,1.06,5.41,2.351564329263616,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,Multiplets,3.37,12.43,1.8830057998706264,Experiment_4 Donor_9
Experiment_4,Donor_9,DIG-TCB,CD19-TCB,B_cell,49.3,47.05,-0.06739292364937477,Experiment_4 Donor_9
